[setup] CRUJRA climate from data/crujra/, GPP from global_baseline_modelC_inputs_1997-2016.nc ...
[setup] loading GFED5 reference from burntArea.nc ...
[setup] land cells (GFED5 burnable): 13916 / 64800 (21.5%)
[setup] GFED5 land-mean monthly frac: 0.005068
[opt] warm-start from C.json
[warm] Overall=0.5988  bias=0.6792 rmse=0.3680 seas=0.8286 spatial=0.7500
[opt] sampler=NSGAIISampler seed=42
[32m[I 2026-07-18 18:48:03,433][0m A new study created in memory with name: no-name-b46206f1-31c2-4212-9fbc-3cf577d4654c[0m
[opt] running 2500 trials against GFED5 ...
[32m[I 2026-07-18 18:48:03,886][0m Trial 0 finished with values: [-0.7246857154436261, 0.053725735164132815] and parameters: {'k1': 0.03635503353478365, 'D_low': 70.18267183720735, 'k2': 0.012758211164590085, 'D_high': 2940.51756322311, 'fire_exp': 1.165368636520435, 'P_half': 12.808863354047988, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.1476584299248268, 'gpp_b': 0.0005752434266899163, 'gpp_d': 660.9129108295722, 'ign_k': 8.708806168038567, 'ign_c': 20.03995359361212, 'trop_agb_crit': 3.5747129226002423, 'trop_k_veg': 6.9782110227926815}.[0m
[32m[I 2026-07-18 18:50:03,680][0m Trial 258 finished with values: [-9.39918353602106e-20, 0.0] and parameters: {'k1': 0.01889771394135163, 'D_low': 355.00125258511594, 'k2': 0.0353875886477924, 'D_high': 2940.51756322311, 'fire_exp': 2.1154350616377124, 'P_half': 3554.812765190894, 'pre_dampen_half': 63.668591607994244, 'gpp_af': 0.001111693990724459, 'gpp_b': 2.512533442757689, 'gpp_d': 2.944272359149678, 'ign_k': 0.12329098365270519, 'ign_c': 5.130551760589832, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 6.9782110227926815}.[0m
[32m[I 2026-07-18 18:50:04,137][0m Trial 259 finished with values: [-1.5104095654348208e-06, 7.915820973147802e-07] and parameters: {'k1': 0.0012056765208549535, 'D_low': 3.4487261314487374, 'k2': 0.0353875886477924, 'D_high': 774.2116473996249, 'fire_exp': 2.100650708889295, 'P_half': 175.2878790340412, 'pre_dampen_half': 0.03751320096826995, 'gpp_af': 0.10409127568994281, 'gpp_b': 0.36422282566934217, 'gpp_d': 2.944272359149678, 'ign_k': 0.12329098365270519, 'ign_c': 8.405439129313676, 'trop_agb_crit': 2.4645410377327237, 'trop_k_veg': 0.902411054575325}.[0m
[32m[I 2026-07-18 18:50:04,593][0m Trial 260 finished with values: [-0.087303850527091, 0.02699187975303763] and parameters: {'k1': 0.008287522363768155, 'D_low': 77.31571570012609, 'k2': 0.0018170401889219116, 'D_high': 8182.111518618414, 'fire_exp': 1.0629462657398439, 'P_half': 65.03622711342449, 'pre_dampen_half': 4.187466509282844, 'gpp_af': 0.7539992074650282, 'gpp_b': 0.42247700890263673, 'gpp_d': 6.283500537123675, 'ign_k': 0.12329098365270519, 'ign_c': 0.5342106255632174, 'trop_agb_crit': 1.0903028125370984, 'trop_k_veg': 6.889798778165608}.[0m
  trial  261/2500  pareto_size=24  best_taylor=0.7247  best_ilamb=0.5954  (2.0 min)
[32m[I 2026-07-18 18:50:05,087][0m Trial 261 finished with values: [-0.02354936928102425, 0.04398502790294767] and parameters: {'k1': 0.00016480446427978953, 'D_low': 1112.9571947046009, 'k2': 0.0001889739291279833, 'D_high': 61536.58035691659, 'fire_exp': 1.7329145403564932, 'P_half': 712.8188058401365, 'pre_dampen_half': 502.5175192217655, 'gpp_af': 0.7539992074650282, 'gpp_b': 0.42247700890263673, 'gpp_d': 229.41380323183625, 'ign_k': 0.06807874826564587, 'ign_c': 5.130551760589832, 'trop_agb_crit': 24.584290528289387, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:50:05,557][0m Trial 262 finished with values: [-5.003306649539565e-12, 2.795054743209846e-09] and parameters: {'k1': 3.8751982355100445e-05, 'D_low': 1.9977959434035766, 'k2': 1.7926680648388784e-05, 'D_high': 91167.68553735358, 'fire_exp': 2.100650708889295, 'P_half': 8320.133621840185, 'pre_dampen_half': 0.14126812677903758, 'gpp_af': 0.04403094955951772, 'gpp_b': 0.36422282566934217, 'gpp_d': 0.15875524914818662, 'ign_k': 0.12329098365270519, 'ign_c': 0.3277320296937064, 'trop_agb_crit': 3.275825291386224, 'trop_k_veg': 0.6984687829911091}.[0m
[32m[I 2026-07-18 18:50:06,020][0m Trial 263 finished with values: [-0.0013928818140896402, 0.0018697736924223607] and parameters: {'k1': 0.0012056765208549535, 'D_low': 1228.2126524008484, 'k2': 0.0012040762895973265, 'D_high': 8182.111518618414, 'fire_exp': 2.878298002135838, 'P_half': 175.2878790340412, 'pre_dampen_half': 0.14126812677903758, 'gpp_af': 0.10409127568994281, 'gpp_b': 6.369295096609023e-05, 'gpp_d': 0.15875524914818662, 'ign_k': 0.12329098365270519, 'ign_c': 0.3277320296937064, 'trop_agb_crit': 10.965064494899984, 'trop_k_veg': 0.902411054575325}.[0m
[32m[I 2026-07-18 18:50:06,488][0m Trial 264 finished with values: [-3.168362450724338e-13, 1.1645670150439713e-07] and parameters: {'k1': 2.766282010813135e-05, 'D_low': 5085.697220189423, 'k2': 0.0009299619346742016, 'D_high': 107.88909575795405, 'fire_exp': 2.878298002135838, 'P_half': 8320.133621840185, 'pre_dampen_half': 241.6951931920675, 'gpp_af': 0.10409127568994281, 'gpp_b': 0.06315461993576105, 'gpp_d': 0.15875524914818662, 'ign_k': 0.002011190979341457, 'ign_c': 0.3277320296937064, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 0.7618668427217097}.[0m
[32m[I 2026-07-18 18:50:06,955][0m Trial 265 finished with values: [-0.024722474137747516, 0.012780191259951557] and parameters: {'k1': 0.0002621130418912425, 'D_low': 355.00125258511594, 'k2': 0.0353875886477924, 'D_high': 8182.111518618414, 'fire_exp': 1.1430983876313219, 'P_half': 712.8188058401365, 'pre_dampen_half': 0.27302031177969777, 'gpp_af': 0.2901272149738624, 'gpp_b': 1.3289448722869181e-05, 'gpp_d': 40.95062894476691, 'ign_k': 2.396079612430075, 'ign_c': 0.1406146398517664, 'trop_agb_crit': 1.0903028125370984, 'trop_k_veg': 5.198868247525918}.[0m
[32m[I 2026-07-18 18:50:07,414][0m Trial 266 finished with values: [-8.555727192330223e-21, 0.0] and parameters: {'k1': 3.5917714215176105e-05, 'D_low': 2.6692731167228954, 'k2': 0.00015319072862693227, 'D_high': 42210.21267871043, 'fire_exp': 2.100650708889295, 'P_half': 221.2683656611821, 'pre_dampen_half': 0.14724438934285344, 'gpp_af': 0.010767288724535768, 'gpp_b': 2.176805640408474e-05, 'gpp_d': 0.03927259340973168, 'ign_k': 5.351470428717439, 'ign_c': 39.52220881906112, 'trop_agb_crit': 12.647327018493208, 'trop_k_veg': 0.5618951132741115}.[0m
[32m[I 2026-07-18 18:50:07,873][0m Trial 267 finished with values: [-0.008714950447841844, 0.014830677512407076] and parameters: {'k1': 0.004312951023617458, 'D_low': 1112.9571947046009, 'k2': 8.923807143379776e-05, 'D_high': 8182.111518618414, 'fire_exp': 1.0629462657398439, 'P_half': 220.3445560633069, 'pre_dampen_half': 0.012284844784580964, 'gpp_af': 0.7539992074650282, 'gpp_b': 3.481277316673104e-05, 'gpp_d': 150.14555442537656, 'ign_k': 0.12329098365270519, 'ign_c': 0.557280750002996, 'trop_agb_crit': 1.0903028125370984, 'trop_k_veg': 1.4584243470991722}.[0m
[32m[I 2026-07-18 18:50:08,332][0m Trial 268 finished with values: [-1.4154414726674218e-07, 6.410080695129494e-06] and parameters: {'k1': 4.540076719227351e-05, 'D_low': 355.00125258511594, 'k2': 0.0353875886477924, 'D_high': 774.2116473996249, 'fire_exp': 1.2611826901294014, 'P_half': 712.8188058401365, 'pre_dampen_half': 0.9166964238460101, 'gpp_af': 0.6403036652671174, 'gpp_b': 8.43984242800236, 'gpp_d': 0.43986836285294123, 'ign_k': 0.07091190338709638, 'ign_c': 5.130551760589832, 'trop_agb_crit': 15.961316409649486, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:50:08,790][0m Trial 269 finished with values: [-0.00037334085499431943, 0.00040239639780415004] and parameters: {'k1': 0.0376331292637011, 'D_low': 12.105387404469584, 'k2': 4.042960692360327e-05, 'D_high': 176.55835392092538, 'fire_exp': 1.264103030891254, 'P_half': 587.6331101080223, 'pre_dampen_half': 0.014711676743602244, 'gpp_af': 0.7070472286699654, 'gpp_b': 0.0021331409710300844, 'gpp_d': 242.00714252738, 'ign_k': 0.004937355303501836, 'ign_c': 192.76545985682404, 'trop_agb_crit': 1.0693376406863295, 'trop_k_veg': 1.4584243470991722}.[0m
[32m[I 2026-07-18 18:50:09,246][0m Trial 270 finished with values: [-0.06732615999060317, 0.05147312321629938] and parameters: {'k1': 0.004312951023617458, 'D_low': 31.585104499227995, 'k2': 0.00035868164986275477, 'D_high': 29812.370697208808, 'fire_exp': 1.0629462657398439, 'P_half': 3554.812765190894, 'pre_dampen_half': 502.5175192217655, 'gpp_af': 0.7539992074650282, 'gpp_b': 3.481277316673104e-05, 'gpp_d': 1.3767835510755018, 'ign_k': 0.12906379659404604, 'ign_c': 20.23326185206641, 'trop_agb_crit': 1.14876138417489, 'trop_k_veg': 1.4584243470991722}.[0m
[32m[I 2026-07-18 18:50:09,700][0m Trial 271 finished with values: [-0.2492839734790473, 0.11184173998647928] and parameters: {'k1': 0.03635503353478365, 'D_low': 171.2446447678494, 'k2': 0.0004976087827261435, 'D_high': 2940.51756322311, 'fire_exp': 1.165368636520435, 'P_half': 12.808863354047988, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.2204465010099918, 'gpp_b': 0.0005752434266899163, 'gpp_d': 0.7668707039273333, 'ign_k': 0.0029519227433917453, 'ign_c': 39.52220881906112, 'trop_agb_crit': 3.5747129226002423, 'trop_k_veg': 2.520089655463604}.[0m
[32m[I 2026-07-18 18:50:10,161][0m Trial 272 finished with values: [-5.574720357948831e-10, 4.972746341369572e-07] and parameters: {'k1': 0.0002656971546588439, 'D_low': 34.459310919273356, 'k2': 1.915468390724633e-05, 'D_high': 91167.68553735358, 'fire_exp': 9.321170097491994, 'P_half': 523.1053126909052, 'pre_dampen_half': 0.029662981696401067, 'gpp_af': 9.93234953243751, 'gpp_b': 0.0021331409710300844, 'gpp_d': 8.057329182285729, 'ign_k': 1.0484531351650956, 'ign_c': 16.867533138445342, 'trop_agb_crit': 6.9878126575720865, 'trop_k_veg': 1.4584243470991722}.[0m
[32m[I 2026-07-18 18:50:10,619][0m Trial 273 finished with values: [-0.050361433184024335, 0.012128462319155209] and parameters: {'k1': 0.002155595057104387, 'D_low': 7.46475488144212, 'k2': 0.0007047307383115598, 'D_high': 61536.58035691659, 'fire_exp': 1.423480109671474, 'P_half': 221.2683656611821, 'pre_dampen_half': 3.3841016089580047, 'gpp_af': 2.6003623362924246, 'gpp_b': 0.42247700890263673, 'gpp_d': 229.41380323183625, 'ign_k': 5.351470428717439, 'ign_c': 5.130551760589832, 'trop_agb_crit': 10.691477813613638, 'trop_k_veg': 0.5772603928610088}.[0m
[32m[I 2026-07-18 18:50:11,090][0m Trial 274 finished with values: [-8.367532704584509e-05, 0.00034875138505829906] and parameters: {'k1': 4.540076719227351e-05, 'D_low': 4.484744524732794, 'k2': 0.004579192310322934, 'D_high': 1236.6924205139144, 'fire_exp': 2.284706851725763, 'P_half': 220.3445560633069, 'pre_dampen_half': 0.9166964238460101, 'gpp_af': 56.20900787064876, 'gpp_b': 0.00431329787498825, 'gpp_d': 0.43986836285294123, 'ign_k': 0.07091190338709638, 'ign_c': 1.6051347487097574, 'trop_agb_crit': 12.71480504859747, 'trop_k_veg': 4.4644194212034}.[0m
[32m[I 2026-07-18 18:50:11,555][0m Trial 275 finished with values: [-0.0005547454248726978, 0.0005973014325717507] and parameters: {'k1': 0.04541457206426161, 'D_low': 1397.5908789482219, 'k2': 0.00035868164986275477, 'D_high': 29812.370697208808, 'fire_exp': 1.1263716762638152, 'P_half': 712.8188058401365, 'pre_dampen_half': 0.011501973785501987, 'gpp_af': 0.0038793182938363898, 'gpp_b': 7.007213496896404e-05, 'gpp_d': 757.2868182332339, 'ign_k': 8.708806168038567, 'ign_c': 20.23326185206641, 'trop_agb_crit': 1.285305820648146, 'trop_k_veg': 0.8674561439130763}.[0m
[32m[I 2026-07-18 18:50:12,025][0m Trial 276 finished with values: [-2.0959480659311507e-08, 0.000101038910749085] and parameters: {'k1': 0.00031134168041628584, 'D_low': 7246.155384166953, 'k2': 0.003767022142229395, 'D_high': 431.45617043093523, 'fire_exp': 2.878298002135838, 'P_half': 4.213183643253957, 'pre_dampen_half': 502.5175192217655, 'gpp_af': 1.970696337909548, 'gpp_b': 0.02797941816693705, 'gpp_d': 16.460426816350534, 'ign_k': 0.0036231766306828567, 'ign_c': 15.221840161091619, 'trop_agb_crit': 1.9853084907433398, 'trop_k_veg': 0.7618668427217097}.[0m
[32m[I 2026-07-18 18:50:12,487][0m Trial 277 finished with values: [-2.0000000000000005e-60, 0.0] and parameters: {'k1': 0.0376331292637011, 'D_low': 355.00125258511594, 'k2': 0.0353875886477924, 'D_high': 8182.111518618414, 'fire_exp': 2.1154350616377124, 'P_half': 8320.133621840185, 'pre_dampen_half': 0.029208808341780905, 'gpp_af': 0.04403094955951772, 'gpp_b': 2.5264362435704455, 'gpp_d': 2.944272359149678, 'ign_k': 0.023352156626184447, 'ign_c': 192.76545985682404, 'trop_agb_crit': 10.691477813613638, 'trop_k_veg': 0.6984687829911091}.[0m
[32m[I 2026-07-18 18:50:12,951][0m Trial 278 finished with values: [-0.0009822715427789403, 0.001248444722888542] and parameters: {'k1': 3.5917714215176105e-05, 'D_low': 3.4487261314487374, 'k2': 1.7926680648388784e-05, 'D_high': 91167.68553735358, 'fire_exp': 2.878298002135838, 'P_half': 78.6767770625783, 'pre_dampen_half': 2.9046276683520444, 'gpp_af': 0.010767288724535768, 'gpp_b': 3.43926796010005e-05, 'gpp_d': 9.51028874815853, 'ign_k': 0.07696703458159232, 'ign_c': 0.3277320296937064, 'trop_agb_crit': 3.275825291386224, 'trop_k_veg': 6.58013223588778}.[0m
[32m[I 2026-07-18 18:50:13,413][0m Trial 279 finished with values: [-1.6045283637823728e-05, 2.111049940412002e-06] and parameters: {'k1': 0.0376331292637011, 'D_low': 355.00125258511594, 'k2': 0.0353875886477924, 'D_high': 1662.6592254031873, 'fire_exp': 2.61565689708108, 'P_half': 221.2683656611821, 'pre_dampen_half': 0.029208808341780905, 'gpp_af': 0.7539992074650282, 'gpp_b': 0.42247700890263673, 'gpp_d': 2.944272359149678, 'ign_k': 0.12329098365270519, 'ign_c': 5.130551760589832, 'trop_agb_crit': 1.0903028125370984, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:50:13,867][0m Trial 280 finished with values: [-0.04754535427538426, 0.0034285703714830307] and parameters: {'k1': 0.01889771394135163, 'D_low': 70.18267183720735, 'k2': 0.032845299795769396, 'D_high': 2940.51756322311, 'fire_exp': 1.450870712623418, 'P_half': 3554.812765190894, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.1476584299248268, 'gpp_b': 0.0005752434266899163, 'gpp_d': 64.20268021730274, 'ign_k': 8.708806168038567, 'ign_c': 20.03995359361212, 'trop_agb_crit': 3.5747129226002423, 'trop_k_veg': 6.9782110227926815}.[0m
[32m[I 2026-07-18 18:50:14,327][0m Trial 281 finished with values: [-8.041695000979458e-09, 3.5865410830115962e-06] and parameters: {'k1': 0.0002220327882582422, 'D_low': 1228.2126524008484, 'k2': 0.015827817125573202, 'D_high': 91167.68553735358, 'fire_exp': 9.321170097491994, 'P_half': 577.536337635295, 'pre_dampen_half': 241.6951931920675, 'gpp_af': 9.93234953243751, 'gpp_b': 0.005070330027123044, 'gpp_d': 8.057329182285729, 'ign_k': 8.696906396418676, 'ign_c': 0.8547476176667197, 'trop_agb_crit': 1.5280652380617874, 'trop_k_veg': 0.5349971555643298}.[0m
[32m[I 2026-07-18 18:50:14,784][0m Trial 282 finished with values: [-1.2508242336345305e-11, 4.120635429538666e-07] and parameters: {'k1': 0.0067445742055710165, 'D_low': 366.0150802571657, 'k2': 0.002019079599080459, 'D_high': 61536.58035691659, 'fire_exp': 2.1154350616377124, 'P_half': 882.6264591983529, 'pre_dampen_half': 63.668591607994244, 'gpp_af': 17.624510039685536, 'gpp_b': 0.42247700890263673, 'gpp_d': 0.01600822137048066, 'ign_k': 0.12329098365270519, 'ign_c': 18.219343937475102, 'trop_agb_crit': 10.691477813613638, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:50:15,240][0m Trial 283 finished with values: [-1.0844432354943153e-06, 1.7215585501384467e-05] and parameters: {'k1': 0.00010758866306767925, 'D_low': 436.4516946807792, 'k2': 0.0007047307383115598, 'D_high': 1662.6592254031873, 'fire_exp': 3.3857164090062235, 'P_half': 221.2683656611821, 'pre_dampen_half': 0.029208808341780905, 'gpp_af': 1.5386842469144075, 'gpp_b': 1.284284091405877e-05, 'gpp_d': 14.63886097662141, 'ign_k': 0.022704877557909234, 'ign_c': 2.493666083446518, 'trop_agb_crit': 10.691477813613638, 'trop_k_veg': 1.0594599158279707}.[0m
[32m[I 2026-07-18 18:50:15,699][0m Trial 284 finished with values: [-0.05127715857762252, 0.023024973006968374] and parameters: {'k1': 0.0699458988153545, 'D_low': 7.299348683062307, 'k2': 0.012758211164590085, 'D_high': 60107.420288647445, 'fire_exp': 1.1263716762638152, 'P_half': 712.8188058401365, 'pre_dampen_half': 0.029662981696401067, 'gpp_af': 0.6403036652671174, 'gpp_b': 2.6738182964551835e-05, 'gpp_d': 757.2868182332339, 'ign_k': 2.396079612430075, 'ign_c': 5.130551760589832, 'trop_agb_crit': 3.5747129226002423, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:50:16,158][0m Trial 285 finished with values: [-2.0000000000000005e-60, 0.0] and parameters: {'k1': 0.0002220327882582422, 'D_low': 3.4487261314487374, 'k2': 4.042960692360327e-05, 'D_high': 91167.68553735358, 'fire_exp': 1.77210373046677, 'P_half': 1735.792403594532, 'pre_dampen_half': 0.014711676743602244, 'gpp_af': 0.7070472286699654, 'gpp_b': 0.3756229459320481, 'gpp_d': 242.00714252738, 'ign_k': 8.696906396418676, 'ign_c': 192.76545985682404, 'trop_agb_crit': 1.4568555410190271, 'trop_k_veg': 0.5349971555643298}.[0m
[32m[I 2026-07-18 18:50:16,618][0m Trial 286 finished with values: [-0.03443559075656704, 0.11146723853732288] and parameters: {'k1': 0.002155595057104387, 'D_low': 12.105387404469584, 'k2': 0.0007047307383115598, 'D_high': 431.45617043093523, 'fire_exp': 1.423480109671474, 'P_half': 221.2683656611821, 'pre_dampen_half': 502.5175192217655, 'gpp_af': 1.970696337909548, 'gpp_b': 0.0021331409710300844, 'gpp_d': 229.41380323183625, 'ign_k': 0.00840038491455979, 'ign_c': 7.406380926311087, 'trop_agb_crit': 10.691477813613638, 'trop_k_veg': 1.0594599158279707}.[0m
[32m[I 2026-07-18 18:50:17,076][0m Trial 287 finished with values: [-0.15663385989476714, 0.10268074773472702] and parameters: {'k1': 0.004312951023617458, 'D_low': 284.21405887320833, 'k2': 0.003767022142229395, 'D_high': 25628.666000163565, 'fire_exp': 1.264103030891254, 'P_half': 4.213183643253957, 'pre_dampen_half': 502.5175192217655, 'gpp_af': 0.0038488863031271342, 'gpp_b': 0.0021331409710300844, 'gpp_d': 0.12878367369717508, 'ign_k': 0.00840038491455979, 'ign_c': 0.2537994662905845, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 1.4584243470991722}.[0m
[32m[I 2026-07-18 18:50:17,535][0m Trial 288 finished with values: [-2.519945466954537e-05, 0.00019506333597540948] and parameters: {'k1': 0.0012056765208549535, 'D_low': 1228.2126524008484, 'k2': 0.0012040762895973265, 'D_high': 25628.666000163565, 'fire_exp': 1.4690410989404576, 'P_half': 9218.802364707573, 'pre_dampen_half': 241.6951931920675, 'gpp_af': 0.10409127568994281, 'gpp_b': 6.369295096609023e-05, 'gpp_d': 0.01392878970664331, 'ign_k': 1.0484531351650956, 'ign_c': 30.28574109895626, 'trop_agb_crit': 10.965064494899984, 'trop_k_veg': 0.902411054575325}.[0m
[32m[I 2026-07-18 18:50:17,989][0m Trial 289 finished with values: [-2.267666374913667e-14, 3.6119163215886374e-10] and parameters: {'k1': 3.8751982355100445e-05, 'D_low': 8.446694862290624, 'k2': 0.0009299619346742016, 'D_high': 107.88909575795405, 'fire_exp': 2.878298002135838, 'P_half': 8320.133621840185, 'pre_dampen_half': 2.9046276683520444, 'gpp_af': 0.04403094955951772, 'gpp_b': 0.06315461993576105, 'gpp_d': 0.15875524914818662, 'ign_k': 0.002011190979341457, 'ign_c': 0.3277320296937064, 'trop_agb_crit': 1.5457499114893816, 'trop_k_veg': 0.7618668427217097}.[0m
[32m[I 2026-07-18 18:50:18,443][0m Trial 290 finished with values: [-2.3531242858893546e-12, 0.0] and parameters: {'k1': 0.011966626407443505, 'D_low': 70.18267183720735, 'k2': 7.91442361215536e-05, 'D_high': 774.2116473996249, 'fire_exp': 3.5637467870629145, 'P_half': 712.8188058401365, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.6403036652671174, 'gpp_b': 3.083723329640505, 'gpp_d': 64.20268021730274, 'ign_k': 8.708806168038567, 'ign_c': 30.28574109895626, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 3.1473758868965485}.[0m
[32m[I 2026-07-18 18:50:18,901][0m Trial 291 finished with values: [-0.0009662721891024346, 0.00012309496131768238] and parameters: {'k1': 0.041833856821460395, 'D_low': 4.484744524732794, 'k2': 0.0012040762895973265, 'D_high': 3712.591045287733, 'fire_exp': 8.924977849661843, 'P_half': 220.3445560633069, 'pre_dampen_half': 0.5682966065442919, 'gpp_af': 0.7539992074650282, 'gpp_b': 0.0005744663972188569, 'gpp_d': 21.14381609520636, 'ign_k': 0.48986208235548445, 'ign_c': 15.221840161091619, 'trop_agb_crit': 24.584290528289387, 'trop_k_veg': 0.5772603928610088}.[0m
[32m[I 2026-07-18 18:50:19,358][0m Trial 292 finished with values: [-8.228434935098047e-11, 1.124961390708279e-08] and parameters: {'k1': 4.540076719227351e-05, 'D_low': 171.2446447678494, 'k2': 0.0004976087827261435, 'D_high': 1236.6924205139144, 'fire_exp': 3.5637467870629145, 'P_half': 3227.0237615158, 'pre_dampen_half': 241.6951931920675, 'gpp_af': 0.2204465010099918, 'gpp_b': 0.0005392415140872105, 'gpp_d': 0.7668707039273333, 'ign_k': 1.0484531351650956, 'ign_c': 30.28574109895626, 'trop_agb_crit': 12.647327018493208, 'trop_k_veg': 2.520089655463604}.[0m
[32m[I 2026-07-18 18:50:19,813][0m Trial 293 finished with values: [-2.0000000000000005e-60, 0.0] and parameters: {'k1': 3.5917714215176105e-05, 'D_low': 3.4487261314487374, 'k2': 1.7926680648388784e-05, 'D_high': 91167.68553735358, 'fire_exp': 2.100650708889295, 'P_half': 9.324787201197319, 'pre_dampen_half': 0.03751320096826995, 'gpp_af': 2.6003623362924246, 'gpp_b': 0.36422282566934217, 'gpp_d': 242.00714252738, 'ign_k': 0.07696703458159232, 'ign_c': 192.76545985682404, 'trop_agb_crit': 3.275825291386224, 'trop_k_veg': 0.5772603928610088}.[0m
[32m[I 2026-07-18 18:50:20,264][0m Trial 294 finished with values: [-7.011162110731175e-05, 0.00019907093245141727] and parameters: {'k1': 0.004053638704742309, 'D_low': 355.00125258511594, 'k2': 0.0353875886477924, 'D_high': 774.2116473996249, 'fire_exp': 2.1154350616377124, 'P_half': 968.2012086882471, 'pre_dampen_half': 63.668591607994244, 'gpp_af': 17.624510039685536, 'gpp_b': 0.42247700890263673, 'gpp_d': 2.944272359149678, 'ign_k': 5.901020135451999, 'ign_c': 5.130551760589832, 'trop_agb_crit': 2.4645410377327237, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:50:20,726][0m Trial 295 finished with values: [-5.535900699876312e-07, 3.7020593515180167e-06] and parameters: {'k1': 0.00016480446427978953, 'D_low': 4546.192107824457, 'k2': 1.7926680648388784e-05, 'D_high': 61536.58035691659, 'fire_exp': 1.423480109671474, 'P_half': 712.8188058401365, 'pre_dampen_half': 0.1875872314533727, 'gpp_af': 0.010767288724535768, 'gpp_b': 0.07904599925873729, 'gpp_d': 9.51028874815853, 'ign_k': 0.07696703458159232, 'ign_c': 1.3012518385211496, 'trop_agb_crit': 7.901343398678965, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:50:21,183][0m Trial 296 finished with values: [-2.7491103636533178e-05, 2.130344383854954e-05] and parameters: {'k1': 1.4002277211577026e-05, 'D_low': 125.61043700013555, 'k2': 0.0018170401889219116, 'D_high': 1123.9682517242118, 'fire_exp': 3.5637467870629145, 'P_half': 65.03622711342449, 'pre_dampen_half': 4.187466509282844, 'gpp_af': 0.6403036652671174, 'gpp_b': 0.42247700890263673, 'gpp_d': 84.31013932082456, 'ign_k': 0.6161423618045314, 'ign_c': 0.5342106255632174, 'trop_agb_crit': 18.748298427129946, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:50:21,639][0m Trial 297 finished with values: [-5.9814023220330905e-09, 1.0517782234042983e-07] and parameters: {'k1': 0.0376331292637011, 'D_low': 436.4516946807792, 'k2': 0.018573288333114862, 'D_high': 1662.6592254031873, 'fire_exp': 1.7008648718913113, 'P_half': 221.2683656611821, 'pre_dampen_half': 0.029208808341780905, 'gpp_af': 30.62518985924679, 'gpp_b': 2.5264362435704455, 'gpp_d': 242.00714252738, 'ign_k': 0.023352156626184447, 'ign_c': 192.76545985682404, 'trop_agb_crit': 10.691477813613638, 'trop_k_veg': 0.8157008881455025}.[0m
[32m[I 2026-07-18 18:50:22,099][0m Trial 298 finished with values: [-2.0000000000000005e-60, 0.0] and parameters: {'k1': 0.0376331292637011, 'D_low': 355.00125258511594, 'k2': 0.018573288333114862, 'D_high': 76.1982217538815, 'fire_exp': 3.5637467870629145, 'P_half': 65.03622711342449, 'pre_dampen_half': 4.187466509282844, 'gpp_af': 0.15988721385117127, 'gpp_b': 0.0001314103502608067, 'gpp_d': 2.944272359149678, 'ign_k': 0.023352156626184447, 'ign_c': 192.76545985682404, 'trop_agb_crit': 18.748298427129946, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:50:22,557][0m Trial 299 finished with values: [-5.5783709373838476e-08, 3.292713523839197e-06] and parameters: {'k1': 0.0002656971546588439, 'D_low': 1313.2212275639863, 'k2': 1.915468390724633e-05, 'D_high': 91167.68553735358, 'fire_exp': 7.690910336830845, 'P_half': 25.14786015817362, 'pre_dampen_half': 0.029662981696401067, 'gpp_af': 0.7539992074650282, 'gpp_b': 0.0021331409710300844, 'gpp_d': 16.460426816350534, 'ign_k': 0.06807874826564587, 'ign_c': 15.221840161091619, 'trop_agb_crit': 15.961316409649486, 'trop_k_veg': 0.586974895308737}.[0m
[32m[I 2026-07-18 18:50:23,009][0m Trial 300 finished with values: [-0.10237523024343359, 0.11025113422136668] and parameters: {'k1': 0.00016480446427978953, 'D_low': 1112.9571947046009, 'k2': 0.0007047307383115598, 'D_high': 61536.58035691659, 'fire_exp': 1.423480109671474, 'P_half': 220.3445560633069, 'pre_dampen_half': 502.5175192217655, 'gpp_af': 0.6403036652671174, 'gpp_b': 0.42247700890263673, 'gpp_d': 229.41380323183625, 'ign_k': 0.06807874826564587, 'ign_c': 5.130551760589832, 'trop_agb_crit': 10.691477813613638, 'trop_k_veg': 0.6743482387129308}.[0m
